run,target_rpm,window_start_s,window_end_s,duration_s,sample_count,sample_rate_hz,channel,sensor_id,position,direction,mounting,finite_ratio,mean_g,std_g,rms_g,mean_abs_g,peak_abs_g,peak_to_peak_g,crest_factor,skewness,kurtosis,dominant_frequency_hz,dominant_amplitude_g,dominant_order,spectral_centroid_hz,one_x_amp_g,two_x_amp_g,three_x_amp_g,envelope_one_x_amp_g,envelope_two_x_amp_g,envelope_three_x_amp_g,envelope_dominant_frequency_hz,envelope_dominant_amplitude_g,envelope_dominant_order,top_peaks,envelope_top_peaks,band_0_10_ratio,band_10_100_ratio,band_100_1000_ratio,band_1000_5000_ratio,band_5000_12800_ratio
run_20260707_5000rpm_10min,5000.0,584.5159999999996,644.5159999999996,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,1.0,0.0015286795688730867,0.18698051324245715,0.1869867620812687,0.15653424332131338,0.7621356847,1.48673072286,4.075880432480876,0.040996637412741864,2.2526847881289633,4357.4,0.2056441085974064,52.2888,4833.7274076231515,0.00381277243706244,0.0003774943670778903,0.00015796868480894688,0.04552660737878051,0.0069789734239397334,0.005780597005357118,83.33333333333333,0.04552660737878051,1.0,"[{""frequency_hz"": 4357.4, ""amplitude_g"": 0.2056441085974064, ""order"": 52.2888}, {""frequency_hz"": 4357.366666666667, ""amplitude_g"": 0.07524787734473576, ""order"": 52.2884}, {""frequency_hz"": 4274.066666666667, ""amplitude_g"": 0.04500732482840838, ""order"": 51.2888}, {""frequency_hz"": 3833.2999999999997, ""amplitude_g"": 0.033536874060460055, ""order"": 45.9996}, {""frequency_hz"": 4356.0, ""amplitude_g"": 0.031695324417307935, ""order"": 52.272000000000006}]","[{""frequency_hz"": 83.33333333333333, ""amplitude_g"": 0.04552660737878051, ""order"": 1.0}, {""frequency_hz"": 688.15, ""amplitude_g"": 0.026744413883254024, ""order"": 8.2578}, {""frequency_hz"": 524.1, ""amplitude_g"": 0.025860967754933635, ""order"": 6.289200000000001}, {""frequency_hz"": 1.35, ""amplitude_g"": 0.024710304773892945, ""order"": 0.016200000000000003}, {""frequency_hz"": 1.4, ""amplitude_g"": 0.023700955255917668, ""order"": 0.0168}]",1.192651043337546e-06,0.00020185014870599557,0.003531829728929913,0.9015270777678066,0.09473804970351427
run_20260707_5000rpm_10min,5000.0,584.5159999999996,644.5159999999996,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,1.0,0.002898649516789088,0.10146894929360475,0.1015103435112369,0.08032480129175185,0.45432335036,0.90258303896,4.475636025305222,4.2941568641850134e-05,3.129001262620687,3833.2999999999997,0.0689885022229974,45.9996,4388.042210248836,0.00013953265229082229,0.0002783122522475955,0.0005252903060522561,0.013139125609849457,0.030429260217666995,0.0020399835794545204,854.8166666666666,0.03190242244783655,10.2578,"[{""frequency_hz"": 3833.2999999999997, ""amplitude_g"": 0.0689885022229974, ""order"": 45.9996}, {""frequency_hz"": 5212.216666666666, ""amplitude_g"": 0.05976076970574361, ""order"": 62.5466}, {""frequency_hz"": 4357.4, ""amplitude_g"": 0.04353397037519286, ""order"": 52.2888}, {""frequency_hz"": 5045.55, ""amplitude_g"": 0.043166455623110445, ""order"": 60.546600000000005}, {""frequency_hz"": 3855.75, ""amplitude_g"": 0.023822528830824762, ""order"": 46.269000000000005}]","[{""frequency_hz"": 854.8166666666666, ""amplitude_g"": 0.03190242244783655, ""order"": 10.2578}, {""frequency_hz"": 166.66666666666666, ""amplitude_g"": 0.030429260217666995, ""order"": 2.0}, {""frequency_hz"": 1378.9166666666667, ""amplitude_g"": 0.02817428636237001, ""order"": 16.547}, {""frequency_hz"": 688.15, ""amplitude_g"": 0.020098826694359626, ""order"": 8.2578}, {""frequency_hz"": 524.1, ""amplitude_g"": 0.018306061502506972, ""order"": 6.289200000000001}]",9.927928033718683e-06,5.026505963481376e-06,0.003855381622932455,0.5240227525468926,0.47210691139617766
run_20260707_5000rpm_10min,5000.0,584.5159999999996,644.5159999999996,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,Magnet,1.0,0.0015509722714268737,0.04705418858436733,0.047079742759704404,0.037795796965735214,0.21230944712,0.42021716976,4.50957109522943,-0.021267302358592498,2.8834656039810045,6067.033333333333,0.016454282163812766,72.8044,6464.449269736406,0.00418265085653217,0.0002328611647911964,6.0094671550952086e-05,0.00445940889487495,0.004220803616709536,0.0012639052031425575,854.8166666666666,0.0061310538468671155,10.2578,"[{""frequency_hz"": 6067.033333333333, ""amplitude_g"": 0.016454282163812766, ""order"": 72.8044}, {""frequency_hz"": 6755.183333333333, ""amplitude_g"": 0.014327480173962239, ""order"": 81.0622}, {""frequency_hz"": 5212.216666666666, ""amplitude_g"": 0.014016853936763813, ""order"": 62.5466}, {""frequency_hz"": 6752.983333333334, ""amplitude_g"": 0.011501280776179896, ""order"": 81.03580000000001}, {""frequency_hz"": 5900.366666666667, ""amplitude_g"": 0.010315167845115379, ""order"": 70.8044}]","[{""frequency_hz"": 854.8166666666666, ""amplitude_g"": 0.0061310538468671155, ""order"": 10.2578}, {""frequency_hz"": 83.33333333333333, ""amplitude_g"": 0.00445940889487495, ""order"": 1.0}, {""frequency_hz"": 166.66666666666666, ""amplitude_g"": 0.004220803616709536, ""order"": 2.0}, {""frequency_hz"": 685.95, ""amplitude_g"": 0.003946948797087585, ""order"": 8.2314}, {""frequency_hz"": 852.6166666666667, ""amplitude_g"": 0.003711770278491004, ""order"": 10.2314}]",1.8494822129222138e-05,0.004496650534391794,0.006167028444617194,0.05854783382544442,0.9307699923734174
run_20260707_6000rpm_10min_20℃,6000.0,594.5159999999996,654.5159999999996,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,1.0,0.0014687764526510557,0.07779616329693691,0.07781002716868524,0.06242579196091102,0.46496045660000007,0.9200018029500001,5.975585326451655,0.014578608549664411,2.945588126816234,5229.35,0.035746578604475304,52.2935,4850.463717743405,0.003017919126273787,0.00024782597907432413,0.0014052289095483417,0.015949748844142794,0.005151361920477565,0.002943024371627386,825.8666666666667,0.018796808321956123,8.258666666666667,"[{""frequency_hz"": 5229.35, ""amplitude_g"": 0.035746578604475304, ""order"": 52.2935}, {""frequency_hz"": 6055.216666666666, ""amplitude_g"": 0.02617970861854016, ""order"": 60.552166666666665}, {""frequency_hz"": 5129.35, ""amplitude_g"": 0.024264413122297056, ""order"": 51.2935}, {""frequency_hz"": 3177.616666666667, ""amplitude_g"": 0.016949769835426832, ""order"": 31.77616666666667}, {""frequency_hz"": 5127.6, ""amplitude_g"": 0.01617142052066707, ""order"": 51.276}]","[{""frequency_hz"": 825.8666666666667, ""amplitude_g"": 0.018796808321956123, ""order"": 8.258666666666667}, {""frequency_hz"": 1025.8666666666666, ""amplitude_g"": 0.01652819578935683, ""order"": 10.258666666666665}, {""frequency_hz"": 100.0, ""amplitude_g"": 0.015949748844142794, ""order"": 1.0}, {""frequency_hz"": 1125.8666666666666, ""amplitude_g"": 0.009581148156582828, ""order"": 11.258666666666665}, {""frequency_hz"": 925.8666666666667, ""amplitude_g"": 0.009365269037893122, ""order"": 9.258666666666667}]",1.7299064895359053e-05,0.00019320811494282302,0.015628762748784133,0.3332417830032996,0.650918947068078
run_20260707_6000rpm_10min_20℃,6000.0,594.5159999999996,654.5159999999996,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,1.0,0.002774264814968619,0.08595178942000165,0.08599655022013312,0.07168534812328034,0.39195528088,0.76743900344,4.557802375521771,0.01316116560893056,2.3561403394989053,5229.35,0.06886815434792007,52.2935,4362.286617280164,0.0010873151952043181,0.00037335420872304954,0.0007347797590244275,0.001728108737518519,0.002994957402656821,0.0012674040839030583,1025.8666666666666,0.021577179241037626,10.258666666666665,"[{""frequency_hz"": 5229.35, ""amplitude_g"": 0.06886815434792007, ""order"": 52.2935}, {""frequency_hz"": 5227.6, ""amplitude_g"": 0.017570583436748315, ""order"": 52.276}, {""frequency_hz"": 4203.483333333334, ""amplitude_g"": 0.015882433321611173, ""order"": 42.03483333333334}, {""frequency_hz"": 4102.083333333333, ""amplitude_g"": 0.015261386019010718, ""order"": 41.02083333333333}, {""frequency_hz"": 4047.133333333333, ""amplitude_g"": 0.013980882351571786, ""order"": 40.471333333333334}]","[{""frequency_hz"": 1025.8666666666666, ""amplitude_g"": 0.021577179241037626, ""order"": 10.258666666666665}, {""frequency_hz"": 1.7666666666666666, ""amplitude_g"": 0.013935698627299221, ""order"": 0.017666666666666667}, {""frequency_hz"": 1125.8666666666666, ""amplitude_g"": 0.013327414935422627, ""order"": 11.258666666666665}, {""frequency_hz"": 825.8666666666667, ""amplitude_g"": 0.011593119640724668, ""order"": 8.258666666666667}, {""frequency_hz"": 1127.2833333333333, ""amplitude_g"": 0.010755103679288499, ""order"": 11.272833333333333}]",7.020832350861093e-06,2.2946757791846377e-05,0.00620649547712436,0.20870498634002632,0.7850585505927069
run_20260707_6000rpm_10min_20℃,6000.0,594.5159999999996,654.5159999999996,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,Magnet,1.0,0.0015337618889693736,0.05727396716644391,0.057294500089580584,0.046357648459853955,0.24004214576000002,0.4652713692,4.189619341903525,0.04725248177336708,2.715244572104904,7081.083333333333,0.03295664785488608,70.81083333333333,6481.945573331501,0.00539480344542191,0.0002547887473234728,0.0006148225828623672,0.002336699944070144,0.012767210913247578,0.008173415043758044,200.0,0.012767210913247578,2.0,"[{""frequency_hz"": 7081.083333333333, ""amplitude_g"": 0.03295664785488608, ""order"": 70.81083333333333}, {""frequency_hz"": 5229.35, ""amplitude_g"": 0.020621860869520753, ""order"": 52.2935}, {""frequency_hz"": 7081.166666666667, ""amplitude_g"": 0.015197478156417265, ""order"": 70.81166666666667}, {""frequency_hz"": 7078.65, ""amplitude_g"": 0.01497794762700763, ""order"": 70.78649999999999}, {""frequency_hz"": 7281.083333333333, ""amplitude_g"": 0.01220959588298105, ""order"": 72.81083333333333}]","[{""frequency_hz"": 200.0, ""amplitude_g"": 0.012767210913247578, ""order"": 2.0}, {""frequency_hz"": 925.8666666666667, ""amplitude_g"": 0.011619958719487492, ""order"": 9.258666666666667}, {""frequency_hz"": 2.466666666666667, ""amplitude_g"": 0.00987415952455525, ""order"": 0.024666666666666667}, {""frequency_hz"": 300.0, ""amplitude_g"": 0.008173415043758044, ""order"": 3.0}, {""frequency_hz"": 1125.8666666666666, ""amplitude_g"": 0.0046638169620156055, ""order"": 11.258666666666665}]",1.2822636473321404e-05,0.0009728278453007127,0.0058322177367394696,0.048473302633412214,0.944708829148074
run_20260707_6000rpm_10min_24℃,6000.0,594.405999999999,654.405999999999,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,1.0,0.0016808819380124812,0.08034514940524279,0.0803627301492447,0.06461972196281233,0.45609682108000005,0.7743279871800001,5.675476931071969,0.11609128827874783,2.857454379394389,4202.966666666666,0.05268275552927139,42.029666666666664,4677.618496406068,0.0055777571731841355,0.0005446760074693865,0.003032382488529047,0.0035909475682742585,0.0035397748819839705,0.003936185656122772,1025.75,0.02023103009927986,10.2575,"[{""frequency_hz"": 4202.966666666666, ""amplitude_g"": 0.05268275552927139, ""order"": 42.029666666666664}, {""frequency_hz"": 5228.716666666666, ""amplitude_g"": 0.03643068481016763, ""order"": 52.287166666666664}, {""frequency_hz"": 4399.966666666666, ""amplitude_g"": 0.021216795840142886, ""order"": 43.99966666666666}, {""frequency_hz"": 4102.966666666666, ""amplitude_g"": 0.020922677246275632, ""order"": 41.029666666666664}, {""frequency_hz"": 2977.233333333333, ""amplitude_g"": 0.020649822316374515, ""order"": 29.772333333333332}]","[{""frequency_hz"": 1025.75, ""amplitude_g"": 0.02023103009927986, ""order"": 10.2575}, {""frequency_hz"": 1125.7333333333333, ""amplitude_g"": 0.012997058151813679, ""order"": 11.257333333333333}, {""frequency_hz"": 825.75, ""amplitude_g"": 0.010233221035748865, ""order"": 8.2575}, {""frequency_hz"": 925.75, ""amplitude_g"": 0.010102964870833677, ""order"": 9.2575}, {""frequency_hz"": 197.0, ""amplitude_g"": 0.008852660976638855, ""order"": 1.97}]",1.903883605437655e-05,0.0005312164403575968,0.03844176135250021,0.5844962953199756,0.3765116880511123
run_20260707_6000rpm_10min_24℃,6000.0,594.405999999999,654.405999999999,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,1.0,0.0028787021843312234,0.054138943229201764,0.054215423084587336,0.04372352525922055,0.4445992326,0.8195760984,8.200604317083954,0.03904195726400874,2.77829797061473,5228.716666666666,0.029673510055273536,52.287166666666664,4367.566700278051,0.0019868415586611126,0.0003444948503733366,0.0008247526299797328,0.008143241673634206,0.00409807065362357,0.001586454916365304,1025.75,0.011342788522596035,10.2575,"[{""frequency_hz"": 5228.716666666666, ""amplitude_g"": 0.029673510055273536, ""order"": 52.287166666666664}, {""frequency_hz"": 4202.966666666666, ""amplitude_g"": 0.027981192632935026, ""order"": 42.029666666666664}, {""frequency_hz"": 4102.966666666666, ""amplitude_g"": 0.015622980720733138, ""order"": 41.029666666666664}, {""frequency_hz"": 4101.633333333333, ""amplitude_g"": 0.0153328426938409, ""order"": 41.016333333333336}, {""frequency_hz"": 5027.033333333333, ""amplitude_g"": 0.010114973622261771, ""order"": 50.270333333333326}]","[{""frequency_hz"": 1025.75, ""amplitude_g"": 0.011342788522596035, ""order"": 10.2575}, {""frequency_hz"": 100.0, ""amplitude_g"": 0.008143241673634206, ""order"": 1.0}, {""frequency_hz"": 1127.0833333333333, ""amplitude_g"": 0.007360407473168662, ""order"": 11.270833333333332}, {""frequency_hz"": 101.33333333333333, ""amplitude_g"": 0.006469184676978543, ""order"": 1.0133333333333332}, {""frequency_hz"": 1125.7333333333333, ""amplitude_g"": 0.006162353095987274, ""order"": 11.257333333333333}]",6.907962276918154e-05,0.00015693368480979998,0.011877932050795787,0.5439477584526586,0.4439482961889666
run_20260707_6000rpm_10min_24℃,6000.0,594.405999999999,654.405999999999,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,Magnet,1.0,0.001543790930880311,0.056539105461590966,0.05656017801276065,0.045765848383375,0.22816715912000002,0.45570794904,4.0340601309374025,0.09346063890431415,2.7175983688918506,7080.2,0.0354896125644025,70.80199999999999,6482.253081357305,0.0095614500169487,0.0002826096741494898,0.0011095914531362926,0.0004433975524421037,0.011261702004227866,0.004679610898198905,200.0,0.011261702004227866,2.0,"[{""frequency_hz"": 7080.2, ""amplitude_g"": 0.0354896125644025, ""order"": 70.80199999999999}, {""frequency_hz"": 5228.716666666666, ""amplitude_g"": 0.031536235854083695, ""order"": 52.287166666666664}, {""frequency_hz"": 7080.233333333334, ""amplitude_g"": 0.01738846905937776, ""order"": 70.80233333333334}, {""frequency_hz"": 7280.2, ""amplitude_g"": 0.014216581746379905, ""order"": 72.80199999999999}, {""frequency_hz"": 7077.849999999999, ""amplitude_g"": 0.013979492970058615, ""order"": 70.7785}]","[{""frequency_hz"": 200.0, ""amplitude_g"": 0.011261702004227866, ""order"": 2.0}, {""frequency_hz"": 925.75, ""amplitude_g"": 0.009198183203946156, ""order"": 9.2575}, {""frequency_hz"": 2.35, ""amplitude_g"": 0.0074833472085233275, ""order"": 0.0235}, {""frequency_hz"": 300.0, ""amplitude_g"": 0.004679610898198905, ""order"": 3.0}, {""frequency_hz"": 1125.7333333333333, ""amplitude_g"": 0.004251949370065599, ""order"": 11.257333333333333}]",4.5726345691361674e-05,0.0030263633670601178,0.01672772630096681,0.0433762659282457,0.9368239180580361
run_20260707_6000rpm_10min_reset,6000.0,595.7340000000004,655.7340000000004,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,1.0,0.0014194723359115832,0.07539005286031293,0.07540341485631269,0.05968691800547837,0.5266477687100001,0.9986316198300002,6.984402095230966,0.025794434297116052,3.2158162182009917,4203.35,0.030875663853690172,42.033500000000004,4716.987212885725,0.005022280144123172,0.00042786343754082134,0.0020277912808658064,0.01625668837019751,0.00612806859559971,0.00238616632937511,1025.8333333333333,0.02474092431151744,10.258333333333333,"[{""frequency_hz"": 4203.35, ""amplitude_g"": 0.030875663853690172, ""order"": 42.033500000000004}, {""frequency_hz"": 5229.2, ""amplitude_g"": 0.025514947548767326, ""order"": 52.292}, {""frequency_hz"": 4399.966666666666, ""amplitude_g"": 0.02115733731517627, ""order"": 43.99966666666666}, {""frequency_hz"": 6055.016666666666, ""amplitude_g"": 0.01865457457005991, ""order"": 60.55016666666666}, {""frequency_hz"": 6055.05, ""amplitude_g"": 0.01802205477517826, ""order"": 60.5505}]","[{""frequency_hz"": 1025.8333333333333, ""amplitude_g"": 0.02474092431151744, ""order"": 10.258333333333333}, {""frequency_hz"": 100.0, ""amplitude_g"": 0.01625668837019751, ""order"": 1.0}, {""frequency_hz"": 925.8333333333334, ""amplitude_g"": 0.012235434989837353, ""order"": 9.258333333333333}, {""frequency_hz"": 1125.8333333333333, ""amplitude_g"": 0.010654150919272576, ""order"": 11.258333333333333}, {""frequency_hz"": 825.8333333333334, ""amplitude_g"": 0.010518673117701445, ""order"": 8.258333333333333}]",8.371769246095985e-06,0.0006025611034965127,0.028533770013359157,0.539962081533467,0.43089321558043125
run_20260707_6000rpm_10min_reset,6000.0,595.7340000000004,655.7340000000004,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,1.0,0.0028543793518490883,0.06805115330975317,0.06811098992285894,0.05559815776086918,0.34332051584,0.67919151004,5.040603817810276,0.026067451882574085,2.5950389386515194,5229.2,0.044694191845053,52.292,4423.8132757738,0.001586085180790866,0.00037001873842117144,0.0007517505229910148,0.006777488887811715,0.0029278187018689154,0.0018899463099286775,1025.8333333333333,0.016682931452584666,10.258333333333333,"[{""frequency_hz"": 5229.2, ""amplitude_g"": 0.044694191845053, ""order"": 52.292}, {""frequency_hz"": 4203.35, ""amplitude_g"": 0.017531843590965608, ""order"": 42.033500000000004}, {""frequency_hz"": 4102.05, ""amplitude_g"": 0.01627926472703729, ""order"": 41.0205}, {""frequency_hz"": 3801.6833333333334, ""amplitude_g"": 0.013998812638912802, ""order"": 38.01683333333333}, {""frequency_hz"": 3701.6833333333334, ""amplitude_g"": 0.011880351429087903, ""order"": 37.01683333333333}]","[{""frequency_hz"": 1025.8333333333333, ""amplitude_g"": 0.016682931452584666, ""order"": 10.258333333333333}, {""frequency_hz"": 1127.15, ""amplitude_g"": 0.012459481198663504, ""order"": 11.271500000000001}, {""frequency_hz"": 1125.8333333333333, ""amplitude_g"": 0.011804440891087514, ""order"": 11.258333333333333}, {""frequency_hz"": 825.8333333333334, ""amplitude_g"": 0.009452928792080088, ""order"": 8.258333333333333}, {""frequency_hz"": 1.6333333333333333, ""amplitude_g"": 0.008181230274838185, ""order"": 0.01633333333333333}]",2.871123719977974e-05,8.114192433215791e-05,0.007491483848580402,0.3382564260261844,0.6541422369637032
run_20260707_6000rpm_10min_reset,6000.0,595.7340000000004,655.7340000000004,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,Magnet,1.0,0.0014667800467423422,0.058358831417350265,0.058377261396062675,0.047236690292693284,0.30088696688000005,0.5781538821600001,5.154180920523513,0.06850352667038048,2.724336234561958,7080.849999999999,0.031069341870017645,70.8085,6499.7655047398885,0.007969384708718682,0.00027031339467835185,0.0007736463600077401,0.0012976387982357165,0.012377687334054881,0.006475994346825744,200.0,0.012377687334054881,2.0,"[{""frequency_hz"": 7080.849999999999, ""amplitude_g"": 0.031069341870017645, ""order"": 70.8085}, {""frequency_hz"": 7080.883333333333, ""amplitude_g"": 0.026684250125242562, ""order"": 70.80883333333333}, {""frequency_hz"": 5229.2, ""amplitude_g"": 0.024496819284421566, ""order"": 52.292}, {""frequency_hz"": 7078.583333333333, ""amplitude_g"": 0.01435188498787891, ""order"": 70.78583333333333}, {""frequency_hz"": 7280.849999999999, ""amplitude_g"": 0.011549277690889878, ""order"": 72.8085}]","[{""frequency_hz"": 200.0, ""amplitude_g"": 0.012377687334054881, ""order"": 2.0}, {""frequency_hz"": 925.8333333333334, ""amplitude_g"": 0.0112381747667602, ""order"": 9.258333333333333}, {""frequency_hz"": 2.3, ""amplitude_g"": 0.00998632432976268, ""order"": 0.023}, {""frequency_hz"": 300.0, ""amplitude_g"": 0.006475994346825744, ""order"": 3.0}, {""frequency_hz"": 1125.8333333333333, ""amplitude_g"": 0.005532141699369712, ""order"": 11.258333333333333}]",9.88379262624658e-06,0.002376858133977468,0.010600381277803321,0.03897984180959037,0.948033034986003
run_20260707_6000rpm_10min_reset_spindle,6000.0,594.719000000001,654.719000000001,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,1.0,0.0020734322734219735,0.08856288625224892,0.0885871545017744,0.07078489835095164,0.5282462333300001,0.9674859637800001,5.963011638661667,0.011634035729877416,2.960982857911008,5229.35,0.02803197883779684,52.2935,5078.070805475277,0.003321504846158561,0.0003072063176485703,0.0021530309042594887,0.022322585818732334,0.005417597635555144,0.0028673737009828563,100.0,0.022322585818732334,1.0,"[{""frequency_hz"": 5229.35, ""amplitude_g"": 0.02803197883779684, ""order"": 52.2935}, {""frequency_hz"": 5229.283333333333, ""amplitude_g"": 0.023426288432145732, ""order"": 52.29283333333333}, {""frequency_hz"": 5129.35, ""amplitude_g"": 0.01933871320450656, ""order"": 51.2935}, {""frequency_hz"": 5127.566666666667, ""amplitude_g"": 0.01766547430778241, ""order"": 51.275666666666666}, {""frequency_hz"": 6055.216666666666, ""amplitude_g"": 0.01668665847571551, ""order"": 60.552166666666665}]","[{""frequency_hz"": 100.0, ""amplitude_g"": 0.022322585818732334, ""order"": 1.0}, {""frequency_hz"": 825.8666666666667, ""amplitude_g"": 0.01640157583420518, ""order"": 8.258666666666667}, {""frequency_hz"": 1025.8666666666666, ""amplitude_g"": 0.015905220739156116, ""order"": 10.258666666666665}, {""frequency_hz"": 925.8666666666667, ""amplitude_g"": 0.013736615721363473, ""order"": 9.258666666666667}, {""frequency_hz"": 1125.8666666666666, ""amplitude_g"": 0.009816621183800216, ""order"": 11.258666666666665}]",3.3801276132925984e-05,0.00015515982507630606,0.024577361405209792,0.3207682471553874,0.6544654303381937
run_20260707_6000rpm_10min_reset_spindle,6000.0,594.719000000001,654.719000000001,59.999960937499964,1536000,25600.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,1.0,0.00312089226783487,0.07071274991806806,0.07078158637331226,0.057288725806654506,0.34217967371999997,0.6676793759199999,4.834303542100557,0.02191708965490745,2.7139049828842365,5229.35,0.03336183708395609,52.2935,4533.044429431745,0.0014454214153388212,0.0002765341304983079,0.0007844797855929169,0.006519344956807279,0.0034010872126732667,0.001045149882705649,1025.8666666666666,0.01530061883521781,10.258666666666665,"[{""frequency_hz"": 5229.35, ""amplitude_g"": 0.03336183708395609, ""order"": 52.2935}, {""frequency_hz"": 5229.266666666666, ""amplitude_g"": 0.027630338674222297, ""order"": 52.29266666666666}, {""frequency_hz"": 3701.6666666666665, ""amplitude_g"": 0.013981364468159209, ""order"": 37.016666666666666}, {""frequency_hz"": 5172.35, ""amplitude_g"": 0.013841942811692822, ""order"": 51.7235}, {""frequency_hz"": 4102.05, ""amplitude_g"": 0.01360664563233064, ""order"": 41.0205}]","[{""frequency_hz"": 1025.8666666666666, ""amplitude_g"": 0.01530061883521781, ""order"": 10.258666666666665}, {""frequency_hz"": 1082.85, ""amplitude_g"": 0.013704311268617542, ""order"": 10.828499999999998}, {""frequency_hz"": 56.983333333333334, ""amplitude_g"": 0.013391516739447985, ""order"": 0.5698333333333333}, {""frequency_hz"": 825.8666666666667, ""amplitude_g"": 0.009024497623941806, ""order"": 8.258666666666667}, {""frequency_hz"": 1125.8666666666666, ""amplitude_g"": 0.009012513647743685, ""order"": 11.258666666666665}]",8.803561298117365e-05,4.968676885254988e-05,0.007356571950896587,0.31771452691261187,0.6747911787546579
