run,condition_label,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,window_start_s,window_end_s,duration_s,channel,sensor_id,position,direction,mounting,acc_rms_g,acc_mean_abs_g,acc_peak_abs_g,acc_peak_to_peak_g,acc_crest_factor,acc_kurtosis,acc_dominant_10_1000_hz,acc_dominant_10_1000_amp_g,acc_dominant_overall_hz,acc_dominant_overall_amp_g,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_rolloff_85_hz,acc_one_x_amp_g,acc_one_x_frequency_hz,acc_two_x_amp_g,acc_two_x_frequency_hz,acc_three_x_amp_g,acc_three_x_frequency_hz,acc_one_x_energy_ratio,acc_two_x_energy_ratio,acc_three_x_energy_ratio,acc_one_to_three_x_energy_ratio,acc_spectrum_energy_total,acc_band_0_10_ratio,acc_band_10_100_ratio,acc_band_100_1000_ratio,acc_band_1000_5000_ratio,acc_band_5000_12800_ratio,acc_band_0_10_energy,acc_band_10_100_energy,acc_band_100_1000_energy,acc_band_1000_5000_energy,acc_band_5000_12800_energy,vel_rms_mm_s,vel_mean_abs_mm_s,vel_peak_abs_mm_s,vel_peak_to_peak_mm_s,vel_crest_factor,vel_kurtosis,vel_dominant_10_1000_hz,vel_dominant_10_1000_amp_mm_s,vel_dominant_overall_hz,vel_dominant_overall_amp_mm_s,vel_spectral_centroid_hz,vel_spectral_bandwidth_hz,vel_spectral_rolloff_85_hz,vel_one_x_amp_mm_s,vel_one_x_frequency_hz,vel_two_x_amp_mm_s,vel_two_x_frequency_hz,vel_three_x_amp_mm_s,vel_three_x_frequency_hz,vel_one_x_energy_ratio,vel_two_x_energy_ratio,vel_three_x_energy_ratio,vel_one_to_three_x_energy_ratio,vel_spectrum_energy_total,vel_band_0_10_ratio,vel_band_10_100_ratio,vel_band_100_1000_ratio,vel_band_1000_5000_ratio,vel_band_5000_12800_ratio,vel_band_0_10_energy,vel_band_10_100_energy,vel_band_100_1000_energy,vel_band_1000_5000_energy,vel_band_5000_12800_energy
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,584.5159999999996,644.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,0.1869867620812687,0.15653424332131338,0.7621356847,1.48673072286,4.075880432480876,2.2526833145459944,771.2333333333333,0.009754744670957455,4357.4,0.2056441085974064,4454.973891615483,734.8235305579173,4357.433333333333,0.00381277243706244,83.33333333333333,0.0003774943670778903,166.66666666666666,0.00015796868480894688,250.0,0.00019609098652122956,1.931711180619686e-06,3.4969494120843737e-07,0.0001983723926430577,0.11421325468193437,1.197398791251944e-06,0.00020185014870599557,0.003531829728929913,0.9015270777678066,0.09473804970351427,1.3675881310109865e-07,2.30539624417442e-05,0.0004033817683234994,0.10296634173575454,0.010820340998857233,0.0604520947178767,0.05025452862681934,0.19539298191507656,0.3783848576466005,3.2321953908620404,2.3531532500349766,83.33333333333333,0.07141119848375505,83.33333333333333,0.07141119848375505,199.45680498733088,229.47724931163256,333.3333333333333,0.07141119848375505,83.33333333333333,0.0035351325865017194,166.66666666666666,0.0009862237645002652,250.0,0.7012359470777806,0.0017269834743462145,0.00013894904143485804,0.7031018795935617,0.011203707888893145,0.0009694710638081893,0.7402939792215889,0.25873654971460264,9.81541109446275e-21,5.759566891061579e-31,1.086167060564144e-05,0.008294037495105013,0.002898808723182487,1.099689987117616e-22,6.452850501399438e-33
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,584.5159999999996,644.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,0.1015103435112369,0.08032480129175185,0.45432335036,0.90258303896,4.475636025305222,3.128996936447628,666.6666666666666,0.005334708622665062,3833.2999999999997,0.0689885022229974,4550.218409259857,1034.9827274365264,5212.216666666666,0.00013953265229082229,83.33333333333333,0.0002783122522475955,166.66666666666666,0.0005252903060522561,250.0,9.110558803077188e-07,3.6366880846432582e-06,1.3069270590435412e-05,1.7617014555386387e-05,0.03309758945933872,1.0001384555551366e-05,5.026505963481376e-06,0.003855381622932455,0.5240227525468926,0.47210691139617766,3.3102172004460994e-07,1.663652307942244e-07,0.0001276038381648974,0.017343889931149693,0.015625600734307087,0.018900145367809672,0.015152977898991091,0.10437876001658132,0.19860560347113038,5.522643238202655,2.922462544262012,666.6666666666666,0.012489530780767201,666.6666666666666,0.012489530780767201,517.1401305886552,289.4033230618659,771.2,0.002613372056879877,83.33333333333333,0.0026063206777731823,166.66666666666666,0.0032794689423621495,250.0,0.012313503262763063,0.01228799369410808,0.019626527865384893,0.04422802482225603,0.0008590399945167013,0.014339492990849004,0.20124533886244755,0.7844151681467032,2.5516692904925943e-19,1.9406390865615325e-29,1.2318197980231206e-05,0.00017287779479290864,0.0006738440017435613,2.1919859733131936e-22,1.6670865902787152e-32
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,584.5159999999996,644.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,Magnet,0.047079742759704404,0.037795796965735214,0.21230944712,0.42021716976,4.50957109522943,2.8834620770769384,83.33333333333333,0.00418265085653217,6067.033333333333,0.016454282163812766,6539.279769587471,1732.6352274201108,7776.65,0.00418265085653217,83.33333333333333,0.0002328611647911964,166.66666666666666,6.0094671550952086e-05,250.0,0.004331737909359778,1.3545494585590747e-05,9.285198459151024e-07,0.004346211923791284,0.006221336772085369,1.8864228161170276e-05,0.004496650534391794,0.006167028444617194,0.05854783382544442,0.9307699923734174,1.17360716336097e-07,2.7975177320828992e-05,3.836716083699339e-05,0.00036424579150418096,0.00579063357990636,0.05759556348781941,0.05011184426685797,0.1458154994277302,0.2813805946751181,2.531714086946436,1.8421551461348464,83.33333333333333,0.07833882711357908,83.33333333333333,0.07833882711357908,94.91847310618621,79.18774483165994,83.35,0.07833882711357908,83.33333333333333,0.002180682258742759,166.66666666666666,0.00037518064475677236,250.0,0.904685892973282,0.0007072451765774877,2.1546903978904746e-05,0.9054146850538384,0.010449606058221565,0.0015381703801721134,0.9553767969634067,0.04308503265642121,1.1131579373255599e-20,6.940973482161365e-31,1.6073274523223483e-05,0.009983311165433129,0.00045022161826521306,1.1632061925634591e-22,7.253043854914863e-33
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,594.5159999999996,654.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,0.07781002716868524,0.06242579196091102,0.46496045660000007,0.9200018029500001,5.975585326451655,2.945584397690598,774.1166666666667,0.01025997126644742,5229.35,0.035746578604475304,4968.280003388798,1522.051425790479,6055.233333333334,0.003017919126273787,100.0,0.00024782597907432413,200.0,0.0014052289095483417,300.0,0.0007742053115476104,5.167529571391633e-06,0.0001664802323116358,0.0009458530734306378,0.018332810184308875,1.7469342643087655e-05,0.00019320811494282302,0.015628762748784133,0.3332417830032996,0.650918947068078,3.202621427203787e-07,3.542047697314906e-06,0.00028651914088905693,0.006109258353280139,0.01193317350196927,0.041622124107811936,0.03417507410752962,0.14138875764841263,0.2805737126663106,3.3969616082586183,2.488400036789562,100.0,0.04710327873461032,100.0,0.04710327873461032,236.4572017544259,276.01079141427243,774.1,0.04710327873461032,100.0,0.0019340227464848582,200.0,0.007310892804777374,300.0,0.6522103891590737,0.0010882850471410858,0.015582584795408666,0.6688812590016234,0.005301502766933983,0.004064504122114154,0.2491547913938143,0.7467807044840714,2.3878049743454173e-21,1.9162248352206255e-31,2.1547979849602768e-05,0.001320894815969166,0.003959059971115213,1.2658954678390958e-23,1.0158871265989762e-33
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,594.5159999999996,654.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,0.08599655022013312,0.07168534812328034,0.39195528088,0.76743900344,4.557802375521771,2.356138529146871,800.0,0.004684762705504793,5229.35,0.06886815434792007,4953.412585314979,984.6870601951881,5229.4,0.0010873151952043181,100.0,0.00037335420872304954,200.0,0.0007347797590244275,300.0,8.307835954161159e-05,9.52182509280656e-06,3.749486600891017e-05,0.00013009505064332834,0.022273736561558982,7.064471093143302e-06,2.294675779184637e-05,0.0062064954771243585,0.20870498634002627,0.7850585505927067,1.573521680754225e-07,5.111100379974869e-07,0.00013824184522797528,0.004648639884821511,0.017486187341301272,0.019886843031620163,0.016037643460079597,0.07831250269311613,0.1499659446179284,3.9379052053962975,2.788967295837733,100.0,0.016970661150971504,100.0,0.016970661150971504,384.250379986888,339.34899483335994,799.9833333333333,0.016970661150971504,100.0,0.002913636753061075,200.0,0.0038227907240506865,300.0,0.369806020689048,0.010595799859277558,0.01854395090153144,0.398945771449857,0.0012190163583829102,0.007187913789426861,0.21932351571346462,0.7734885704971084,2.8699804169218276e-22,3.502266046966773e-31,8.762184491957437e-06,0.00026735895343276463,0.0009428952204581881,3.498553076466313e-25,4.269319602661546e-34
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,594.5159999999996,654.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,Magnet,0.057294500089580584,0.046357648459853955,0.24004214576000002,0.4652713692,4.189619341903525,2.715241592794844,100.0,0.00539480344542191,7081.083333333333,0.03295664785488608,6716.168653397616,1692.6236294133807,7281.133333333333,0.00539480344542191,100.0,0.0002547887473234728,200.0,0.0006148225828623672,300.0,0.004519452734684371,1.0092253329472128e-05,5.9524571400352836e-05,0.004589069559414196,0.009880982892014554,1.2822688428687161e-05,0.0009728278453007125,0.005832217736739469,0.04847330263341221,0.9447088291480737,1.2670076499349083e-07,9.612495296291721e-06,5.7628043679226534e-05,0.00047896387404019005,0.009334651778747217,0.0614885904482804,0.05392040420322974,0.139009957172795,0.2778889258170533,2.260743922723676,1.7512792273256652,100.0,0.0842013998402812,100.0,0.0842013998402812,102.99911687517512,56.70495441905666,100.0,0.0842013998402812,100.0,0.0019883611498187114,200.0,0.0031986974206143466,300.0,0.9519979349717088,0.0005314677111911548,0.0013931467981398696,0.9539225494810399,0.011427388304389885,0.0018138610358384214,0.22944034067247343,0.7687457982916879,7.313466896705339e-22,1.1963032214686807e-30,2.07276943867285e-05,0.0026219038655558536,0.0087847567444473,8.357382607995318e-24,1.3670621441515145e-32
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,594.405999999999,654.405999999999,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,0.0803627301492447,0.06461972196281233,0.45609682108000005,0.7743279871800001,5.675476931071969,2.857450937162201,774.25,0.017314046636475615,4202.966666666666,0.05268275552927139,4433.898575222587,1543.938820076632,5228.733333333334,0.0055777571731841355,100.0,0.0005446760074693865,200.0,0.003032382488529047,300.0,0.0024631857493244893,2.3407487619941463e-05,0.0007382426820660581,0.0032248359190104894,0.019285179939954305,1.911474096497345e-05,0.0005312164403575968,0.03844176135250021,0.5844962953199756,0.3765116880511123,3.6863121901512876e-07,1.0244604639358257e-05,0.0007413562848917477,0.0112721162294824,0.007261095653561644,0.0712431399936069,0.05912074580828721,0.21546014634622826,0.4184667291237655,3.024293235328522,2.296478929752669,100.0,0.08705731570259204,100.0,0.08705731570259204,226.75221913878207,261.1412803056837,774.2333333333333,0.08705731570259204,100.0,0.004250626079941882,200.0,0.0157763815384873,300.0,0.7582587110495459,0.0018014250275584292,0.025250970298969215,0.7853111063760736,0.015261298846777347,0.000881762841361328,0.18688930144780422,0.8122289357108343,3.5006987107845956e-22,8.961734880409759e-31,1.3456846233998751e-05,0.0028521734806603986,0.012395668519882948,5.34252091978119e-24,1.367677141955218e-32
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,594.405999999999,654.405999999999,60.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,0.054215423084587336,0.04372352525922055,0.4445992326,0.8195760984,8.200604317083954,2.7782947860529097,774.25,0.004980782608620964,5228.716666666666,0.029673510055273536,4561.251710875126,1405.1670409400851,5228.716666666666,0.0019868415586611126,100.0,0.0003444948503733366,200.0,0.0008247526299797328,300.0,0.0006949304647917043,2.085487227666121e-05,0.00012106889579110685,0.0008368542328594723,0.00869686000435767,6.95782381328994e-05,0.0001569336848098,0.011877932050795788,0.5439477584526587,0.4439482961889667,6.051121963916865e-07,1.3648302867588225e-06,0.00010330071218704396,0.004730637504946934,0.0038609561811285566,0.026520126664616405,0.022182734246597283,0.10513710351768439,0.2005443744684286,3.964426899135443,2.3545769789200723,100.0,0.031010518442830644,100.0,0.031010518442830644,221.5275765924957,258.3562215292983,674.65,0.031010518442830644,100.0,0.0026884221266941064,200.0,0.004290886807154487,300.0,0.6949608112355798,0.0052139595456523885,0.013452740740413669,0.7136275115216458,0.002118511441618965,0.0044833266989562194,0.2245694492879038,0.7709472240131398,2.953938893252972e-21,5.756390776907959e-30,9.497978908254536e-06,0.0004757529477544941,0.0016332605149562158,6.2579533431996835e-24,1.2194979723309393e-32
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,594.405999999999,654.405999999999,60.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,Magnet,0.05656017801276065,0.045765848383375,0.22816715912000002,0.45570794904,4.0340601309374025,2.7175953819196983,100.0,0.0095614500169487,7080.2,0.0354896125644025,6586.420512829915,2007.4821447591798,7380.166666666667,0.0095614500169487,100.0,0.0002826096741494898,200.0,0.0011095914531362926,300.0,0.014519783456019165,1.2815388678928352e-05,0.00019917660479961628,0.014731775449497707,0.009576338455690104,4.572921832391622e-05,0.0030263633670601178,0.01672772630096681,0.0433762659282457,0.9368239180580361,4.379184719839675e-07,2.8981479892869593e-05,0.00016019036865220723,0.0004153858034728997,0.008971342912709446,0.10677943723816107,0.09467541598392089,0.21142932857565824,0.41588086267679286,1.980056591833181,1.6300938545700023,100.0,0.1492345330008549,100.0,0.1492345330008549,103.08267240555905,49.28102723137111,100.0,0.1492345330008549,100.0,0.002205474147090778,200.0,0.005772800336314122,300.0,0.98089470078639,0.00021643698697569375,0.0014950594463647088,0.9826061972197303,0.03453234634471807,0.00039498296194154817,0.21340658116364253,0.7861984358744155,2.6240484012604744e-22,1.5173120495744517e-30,1.3639688442028138e-05,0.007369429972985092,0.027149276683290938,9.061454821763045e-24,5.2396345208919e-32
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,595.7340000000004,655.7340000000004,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,0.07540341485631269,0.05968691800547837,0.5266477687100001,0.9986316198300002,6.984402095230966,3.2158116094274223,774.15,0.01407535254491001,4203.35,0.030875663853690172,4555.000286816469,1574.553407723933,6055.016666666666,0.005022280144123172,100.0,0.00042786343754082134,200.0,0.0020277912808658064,300.0,0.002376457814288603,1.652952392247081e-05,0.00037808829144489513,0.002771075629655969,0.01686427954471756,8.375114672831774e-06,0.0006025611034965125,0.02853377001335915,0.5399620815334669,0.43089321558043114,1.4124027506170077e-07,1.0161758892138676e-05,0.000481201473969968,0.00910607148652796,0.007266703641470638,0.06234304830821424,0.05195754133124725,0.22325521520672206,0.4258822934938123,3.5810763391450373,2.267802292311382,100.0,0.07838761831216415,100.0,0.07838761831216415,198.15692567706827,238.61813836874393,300.0,0.07838761831216415,100.0,0.0033390254168507707,200.0,0.010549857585955821,300.0,0.7871604231130248,0.0013687472305319878,0.013914698827822173,0.802443869171379,0.012403206491519844,0.0016559425156234791,0.23702901030934614,0.7613150471750306,7.333454456431964e-22,8.81392371552881e-31,2.0538996959364837e-05,0.002939919759347406,0.009442747735213076,9.095834991928206e-24,1.0932091584420763e-32
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,595.7340000000004,655.7340000000004,60.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,0.06811098992285894,0.05559815776086918,0.34332051584,0.67919151004,5.040603817810276,2.595036350635482,774.15,0.004550030519756326,5229.2,0.044694191845053,4811.336920464786,1172.931127999191,5229.216666666666,0.001586085180790866,100.0,0.00037001873842117144,200.0,0.0007517505229910148,300.0,0.0002942471727302176,1.5264716049063662e-05,6.369449671349899e-05,0.0003732063854927802,0.013777683644173073,2.87382788958874e-05,8.114192433215792e-05,0.007491483848580403,0.33825642602618444,0.6541422369637033,3.9594691510555203e-07,1.1179477637279012e-06,0.00010321529449117296,0.0046603900283974,0.009012564799177602,0.02257276284202355,0.018437363012692127,0.09036417738227331,0.17531934917286668,4.003239568620416,2.592539559479017,100.0,0.024755574802057794,100.0,0.024755574802057794,256.1001529234785,288.62669553024534,774.15,0.024755574802057794,100.0,0.002887610836930533,200.0,0.00391108367501121,300.0,0.6068123448542626,0.007869732622886831,0.014594513568707003,0.6292765910458564,0.001627554163058118,0.006307165146444861,0.2620477455368436,0.7316450893167114,1.285956129991724e-21,1.8316441889710358e-30,1.0265252891191397e-05,0.0004264968991684842,0.0011907920109984422,2.0929632528781366e-24,2.9811001250010196e-33
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,5999.998520286396,99.99997533810661,595.7340000000004,655.7340000000004,60.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,Magnet,0.058377261396062675,0.047236690292693284,0.30088696688000005,0.5781538821600001,5.154180920523513,2.7243332256566695,100.0,0.007969384708718682,7080.849999999999,0.031069341870017645,6626.336583895875,1767.2179719047642,7280.866666666667,0.007969384708718682,100.0,0.00027031339467835185,200.0,0.0007736463600077401,300.0,0.009889940926510979,1.1294092001242266e-05,9.14651815310251e-05,0.009992700200043246,0.010156128968564965,9.892381928834675e-06,0.0023768581339774675,0.01060038127780332,0.03897984180959036,0.9480330349860029,1.004683066755464e-07,2.4139677748657825e-05,0.000107658839373332,0.0003958843005924604,0.009628345769777906,0.0881225111083178,0.07771117014926562,0.19346093037148565,0.3781808272513907,2.1953633406302813,1.6786962190267958,100.0,0.12438584680811447,100.0,0.12438584680811447,102.05276791785685,45.948284739470836,100.0,0.12438584680811447,100.0,0.0021095104674410505,200.0,0.004024998748248656,300.0,0.972767229451807,0.0002777160542098037,0.000999585614943182,0.97404453112096,0.02515422889746148,0.0009689633802372132,0.2490651815915703,0.7499658550281918,3.4018255345016625e-22,1.3501745924278066e-30,2.4373526659744866e-05,0.006265042588142169,0.01886481278265955,8.557029816408406e-24,3.396260074946581e-32
run_20260707_6000rpm_10min_reset_spindle,重新安装刀柄,6000.0,5999.995324371713,99.99992207286188,594.719000000001,654.719000000001,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,Magnet,0.0885871545017744,0.07078489835095164,0.5282462333300001,0.9674859637800001,5.963011638661667,2.960979078672362,774.1166666666667,0.016358700133004618,5229.35,0.02803197883779684,4940.4168319173505,1591.2533508187505,6055.266666666666,0.003321504846158561,100.0,0.0003072063176485703,200.0,0.0021530309042594887,300.0,0.0007508416239593672,6.157381440645998e-06,0.00030594508118899597,0.0010629440865890093,0.023384726700277827,3.52356779296187e-05,0.00015515982507630606,0.024577361405209792,0.3207682471553874,0.6544654303381937,8.239766984831446e-07,3.6283701042723315e-06,0.0005747348794747872,0.007501077793855904,0.015304495223238375,0.04872398319369368,0.040010062034651,0.16095191775404388,0.3217833443024637,3.3033407206099645,2.4264743818431787,100.0,0.05184153325745733,100.0,0.05184153325745733,302.7486734842632,310.17167314549044,774.1166666666667,0.05184153325745733,100.0,0.0023974232716515663,200.0,0.011201431332145967,300.0,0.5722053275478398,0.0011731786584049787,0.025907702720437076,0.5992862089266819,0.0074746939168917,0.005011823201274999,0.18756368442249188,0.8074244923762329,9.192653460050033e-22,2.414174439374141e-30,3.7461844395106915e-05,0.0014019811309825946,0.006035250941513997,6.871227089792942e-24,1.8045214996305322e-32
run_20260707_6000rpm_10min_reset_spindle,重新安装刀柄,6000.0,5999.995324371713,99.99992207286188,594.719000000001,654.719000000001,60.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,Magnet,0.07078158637331226,0.057288725806654506,0.34217967371999997,0.6676793759199999,4.834303542100557,2.7139020079348137,774.1166666666667,0.005089722367250495,5229.35,0.03336183708395609,4839.959389827543,1165.593590070458,5229.4,0.0014454214153388212,100.0,0.0002765341304983079,200.0,0.0007844797855929169,300.0,0.0002230189685763223,7.914785344735127e-06,6.433091872718495e-05,0.00029526467264824233,0.014818246984184989,9.217873572794108e-05,4.968676885254988e-05,0.007356571950896587,0.31771452691261187,0.6747911787546579,1.365927272706548e-06,7.362708127031939e-07,0.00010901150012531324,0.0047079723302545715,0.009999222349535843,0.02190278770385566,0.018040322215197007,0.0983431209335105,0.1768654700511878,4.489981926647568,2.4794651742799134,100.0,0.022559944768604605,100.0,0.022559944768604605,280.97855192754014,303.351665605401,774.1166666666667,0.022559944768604605,100.0,0.0021580576684601515,200.0,0.004081360862867921,300.0,0.5387817996799383,0.0047804279322458156,0.01726901913986392,0.5608312467520481,0.001494153744041838,0.006561454518733786,0.2338121193586253,0.7596264261226409,2.6151579749257147e-21,1.027141934385874e-30,9.803821835526323e-06,0.0003493512535420471,0.0011349986686642645,3.907448079496127e-24,1.5347079669250295e-33
