event,peak_time_s,pair,reference,target,lag_samples,lag_us,corr,abs_corr,polarity
1,0.5203515625,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,48.61523254828301,1899.032521415578,0.6166598954732924,0.6166598954732924,1
1,0.5203515625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.611637682738895,-1391.079596980723,-0.8024394079395935,0.8024394079395935,-1
1,0.5203515625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.307921070540555,871.4031668171979,0.5919061840281671,0.5919061840281671,1
2,0.9346484375,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,48.78712618750819,1905.7471166978055,0.5810236907832808,0.5810236907832808,1
2,0.9346484375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.64591521271194,-1392.4185629952938,-0.7949656274368588,0.7949656274368588,-1
2,0.9346484375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.301020841185967,871.1336266080345,0.5631209209946473,0.5631209209946473,1
3,1.3460546875,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,48.88402167459383,1909.5320966620848,0.5702482086928403,0.5702482086928403,1
3,1.3460546875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.675076668413624,-1393.5576823586398,-0.7928722446595048,0.7928722446595048,-1
3,1.3460546875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.301657233517787,871.1584856834962,0.5529056677797183,0.5529056677797183,1
4,1.7516796875,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,48.93095466958256,1911.3654167788304,0.5700833141549777,0.5700833141549777,1
4,1.7516796875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.63197319761168,-1391.8739530304404,-0.800715950685102,0.800715950685102,-1
4,1.7516796875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.33065199147707,872.2910934162796,0.5603788791302247,0.5603788791302247,1
5,2.1438671875,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.03304540099112,1485.6658359748644,-0.5488860132942895,0.5488860132942895,-1
5,2.1438671875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.6513983763426,-1392.6327490746162,-0.7913262440950124,0.7913262440950124,-1
5,2.1438671875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.38117136639898,874.264506499165,0.5370099841282521,0.5370099841282521,1
6,2.7981640625,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.2510586197119,1494.181977331137,-0.5435631573904826,0.5435631573904826,-1
6,2.7981640625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.61609305351109,-1391.2536349015115,-0.803797636350327,0.803797636350327,-1
6,2.7981640625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.457929730252392,877.2628800871862,0.5338730734968562,0.5338730734968562,1
7,3.2549609375,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.09178762479672,1487.9604540922687,-0.5441992196844486,0.5441992196844486,-1
7,3.2549609375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.66968133557648,-1393.3469271696888,-0.788624689562094,0.788624689562094,-1
7,3.2549609375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.415974019124544,875.6239851212562,0.5225039792757328,0.5225039792757328,1
8,4.349375,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,49.51750820151537,1934.2776641199348,0.5493255648122505,0.5493255648122505,1
8,4.349375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-0.2701648455935856,-10.55331428098984,0.826141610681141,0.826141610681141,1
8,4.349375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.38790255515671,874.5274435600136,0.5445974414824447,0.5445974414824447,1
9,4.968515625,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.65933125003968,1510.1301269533014,-0.5286457969382626,0.5286457969382626,-1
9,4.968515625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.584132347676665,-1390.0051698298555,-0.8015225000167027,0.8015225000167027,-1
9,4.968515625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.48714657838359,878.4041632173102,0.4986659433309271,0.4986659433309271,1
10,5.3837890625,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.49264434606889,1503.6189197669487,-0.5255833103031994,0.5255833103031994,-1
10,5.3837890625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.621422663908454,-1391.4618228076586,-0.7986240738336328,0.7986240738336328,-1
10,5.3837890625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.54426720835981,880.6354378257541,0.4998507917104157,0.4998507917104157,1
11,5.8101171875,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.663550961121686,1510.2949594174422,-0.5374514062144236,0.5374514062144236,-1
11,5.8101171875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.621276087432,-1391.456097164047,-0.8054913111004837,0.8054913111004837,-1
11,5.8101171875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.45734997957342,877.2402335762888,0.5030365762281562,0.5030365762281562,1
